Timestamp,Action,Details
2024-12-28 02:19:48,Environment Loaded,Loaded from 'c:\Users\KAMI\Downloads\KRR PROJ\Knowledge_Rep\environment.npy'
2024-12-28 02:19:48,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:19:48,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:19:53,Save Environment,environment.npy
2024-12-28 02:20:00,Environment Loaded,Loaded from 'c:\Users\KAMI\Downloads\KRR PROJ\Knowledge_Rep\environment.npy'
2024-12-28 02:20:00,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:20:00,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:20:14,Save Environment,environment.npy
2024-12-28 02:21:33,Environment Loaded,Loaded from 'c:\Users\KAMI\Downloads\KRR PROJ\Knowledge_Rep\environment.npy'
2024-12-28 02:21:33,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:21:33,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:21:36,Save Environment,environment.npy
2024-12-28 02:22:03,Environment Loaded,Loaded from 'c:\Users\KAMI\Downloads\KRR PROJ\Knowledge_Rep\environment.npy'
2024-12-28 02:22:03,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:22:03,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:22:14,Environment Loaded,Loaded from 'c:\Users\KAMI\Downloads\KRR PROJ\Knowledge_Rep\environment.npy'
2024-12-28 02:22:14,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:22:14,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:22:19,Save Environment,environment.npy
2024-12-28 02:25:29,Environment Loaded,Loaded from 'c:\Users\KAMI\Downloads\KRR PROJ\Knowledge_Rep\environment.npy'
2024-12-28 02:25:29,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:25:29,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:25:32,Save Environment,environment.npy
2024-12-28 02:25:46,Environment Loaded,Loaded from 'c:\Users\KAMI\Downloads\KRR PROJ\Knowledge_Rep\environment.npy'
2024-12-28 02:25:46,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:25:46,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:25:49,Save Environment,environment.npy
2024-12-28 02:29:40,Save Environment,environment.npy
2024-12-28 02:29:40,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:29:43,Save Environment,environment.npy
2024-12-28 02:29:46,Save Environment,environment.npy
2024-12-28 02:29:46,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:29:50,Save Environment,environment.npy
2024-12-28 02:29:51,Save Environment,environment.npy
2024-12-28 02:29:51,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:29:55,Save Environment,environment.npy
2024-12-28 02:29:57,Save Environment,environment.npy
2024-12-28 02:29:57,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:30:00,Save Environment,environment.npy
2024-12-28 02:30:02,Save Environment,environment.npy
2024-12-28 02:30:02,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:30:04,Save Environment,environment.npy
2024-12-28 02:30:07,Save Environment,environment.npy
2024-12-28 02:30:07,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:30:10,Save Environment,environment.npy
2024-12-28 02:30:11,Save Environment,environment.npy
2024-12-28 02:30:11,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:30:14,Save Environment,environment.npy
2024-12-28 02:30:17,Save Environment,environment.npy
2024-12-28 02:30:17,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:30:19,Save Environment,environment.npy
2024-12-28 02:30:24,Save Environment,environment.npy
2024-12-28 02:30:24,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:30:27,Save Environment,environment.npy
2024-12-28 02:30:29,Save Environment,environment.npy
2024-12-28 02:30:29,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:30:32,Save Environment,environment.npy
2024-12-28 02:30:34,Save Environment,environment.npy
2024-12-28 02:30:34,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:30:36,Save Environment,environment.npy
2024-12-28 02:30:37,Save Environment,environment.npy
2024-12-28 02:30:37,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:30:40,Save Environment,environment.npy
2024-12-28 02:30:42,Save Environment,environment.npy
2024-12-28 02:30:42,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:30:48,Save Environment,environment.npy
2024-12-28 02:30:50,Save Environment,environment.npy
2024-12-28 02:30:50,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:30:53,Save Environment,environment.npy
2024-12-28 02:30:54,Save Environment,environment.npy
2024-12-28 02:30:54,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:30:58,Save Environment,environment.npy
2024-12-28 02:31:00,Save Environment,environment.npy
2024-12-28 02:31:00,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:31:03,Save Environment,environment.npy
2024-12-28 02:31:06,Save Environment,environment.npy
2024-12-28 02:31:06,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:31:08,Save Environment,environment.npy
2024-12-28 02:31:10,Save Environment,environment.npy
2024-12-28 02:31:10,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:31:12,Save Environment,environment.npy
2024-12-28 02:31:14,Save Environment,environment.npy
2024-12-28 02:31:14,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:31:25,Save Environment,environment.npy
2024-12-28 02:31:51,Environment Loaded,Loaded from 'c:\Users\KAMI\Downloads\KRR PROJ\Knowledge_Rep\environment.npy'
2024-12-28 02:31:51,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:31:51,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:31:59,Save Environment,environment.npy
2024-12-28 02:36:31,Environment Loaded,Loaded from 'c:\Users\KAMI\Downloads\KRR PROJ\Knowledge_Rep\environment.npy'
2024-12-28 02:36:31,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:36:31,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:36:34,Save Environment,environment.npy
2024-12-28 02:40:08,Environment Loaded,Loaded from 'c:\Users\KAMI\Downloads\KRR PROJ\Knowledge_Rep\environment.npy'
2024-12-28 02:40:08,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:40:08,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:40:49,Save Environment,environment.npy
2024-12-28 02:45:56,Environment Loaded,Loaded from 'c:\Users\KAMI\Downloads\KRR PROJ\Knowledge_Rep\environment.npy'
2024-12-28 02:45:56,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:45:56,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:46:00,Save Environment,environment.npy
2024-12-28 02:52:23,Environment Loaded,Loaded from 'c:\Users\KAMI\Downloads\KRR PROJ\Knowledge_Rep\environment.npy'
2024-12-28 02:52:23,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:52:23,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:53:10,Save Environment,environment.npy
2024-12-28 02:56:06,Environment Loaded,Loaded from 'c:\Users\KAMI\Downloads\KRR PROJ\Knowledge_Rep\environment.npy'
2024-12-28 02:56:06,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:56:06,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 02:56:09,Save Environment,environment.npy
2024-12-28 03:02:47,Environment Loaded,Loaded from 'c:\Users\KAMI\Downloads\KRR PROJ\Knowledge_Rep\environment.npy'
2024-12-28 03:02:47,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 03:02:47,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 03:03:19,Save Environment,environment.npy
2024-12-28 03:09:19,Environment Loaded,Loaded from 'c:\Users\KAMI\Downloads\KRR PROJ\Knowledge_Rep\environment.npy'
2024-12-28 03:09:19,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 03:09:19,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 03:09:27,Save Environment,environment.npy
2024-12-28 03:09:48,Environment Loaded,Loaded from 'c:\Users\KAMI\Downloads\KRR PROJ\Knowledge_Rep\environment.npy'
2024-12-28 03:09:48,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 03:09:48,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 03:09:56,Save Environment,environment.npy
2024-12-28 03:13:35,Environment Loaded,Loaded from 'c:\Users\KAMI\Downloads\KRR PROJ\Knowledge_Rep\environment.npy'
2024-12-28 03:13:35,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 03:13:35,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 03:13:57,Save Environment,environment.npy
