Timestamp,Drone_ID,Position_X,Position_Y
2025-01-01 16:45:07,1,312.54,99.47
2025-01-01 16:45:07,2,849.8,645.54
2025-01-01 16:45:07,3,930.02,356.23
2025-01-01 16:45:07,4,254.46,155.32
2025-01-01 16:45:07,5,952.85,420.13
2025-01-01 16:45:07,1,317.54,99.47
2025-01-01 16:45:07,2,844.8,645.54
2025-01-01 16:45:07,3,930.02,361.23
2025-01-01 16:45:07,4,254.46,155.32
2025-01-01 16:45:07,5,952.85,415.13
2025-01-01 16:45:07,1,312.54,99.47
2025-01-01 16:45:07,2,844.8,640.54
2025-01-01 16:45:07,3,930.02,361.23
2025-01-01 16:45:07,4,254.46,155.32
2025-01-01 16:45:07,5,952.85,415.13
2025-01-01 16:45:07,1,317.54,99.47
2025-01-01 16:45:07,2,844.8,640.54
2025-01-01 16:45:07,3,925.02,361.23
2025-01-01 16:45:07,4,259.46,160.32
2025-01-01 16:45:07,5,952.85,410.13
2025-01-01 16:45:07,1,317.54,99.47
2025-01-01 16:45:07,2,844.8,640.54
2025-01-01 16:45:07,3,925.02,366.23
2025-01-01 16:45:07,4,259.46,160.32
2025-01-01 16:45:07,5,957.85,415.13
2025-01-01 16:45:07,1,317.54,94.47
2025-01-01 16:45:07,2,849.8,635.54
2025-01-01 16:45:07,3,925.02,361.23
2025-01-01 16:45:07,4,264.46,155.32
2025-01-01 16:45:07,5,957.85,420.13
2025-01-01 16:45:07,1,317.54,94.47
2025-01-01 16:45:07,2,844.8,640.54
2025-01-01 16:45:07,3,920.02,361.23
2025-01-01 16:45:07,4,264.46,150.32
2025-01-01 16:45:07,5,957.85,415.13
2025-01-01 16:45:07,1,317.54,99.47
2025-01-01 16:45:07,2,839.8,640.54
2025-01-01 16:45:07,3,915.02,366.23
2025-01-01 16:45:07,4,264.46,150.32
2025-01-01 16:45:07,5,952.85,415.13
2025-01-01 16:45:07,1,322.54,99.47
2025-01-01 16:45:07,2,844.8,635.54
2025-01-01 16:45:07,3,915.02,366.23
2025-01-01 16:45:07,4,269.46,150.32
2025-01-01 16:45:07,5,952.85,415.13
2025-01-01 16:45:07,1,317.54,99.47
2025-01-01 16:45:07,2,844.8,635.54
2025-01-01 16:45:07,3,915.02,371.23
2025-01-01 16:45:07,4,274.46,150.32
2025-01-01 16:45:07,5,952.85,415.13
2025-01-01 16:45:08,1,317.54,99.47
2025-01-01 16:45:08,2,844.8,630.54
2025-01-01 16:45:08,3,915.02,366.23
2025-01-01 16:45:08,4,274.46,150.32
2025-01-01 16:45:08,5,952.85,410.13
2025-01-01 16:45:08,1,317.54,104.47
2025-01-01 16:45:08,2,844.8,630.54
2025-01-01 16:45:08,3,915.02,366.23
2025-01-01 16:45:08,4,269.46,155.32
2025-01-01 16:45:08,5,947.85,415.13
2025-01-01 16:45:08,1,317.54,104.47
2025-01-01 16:45:08,2,844.8,630.54
2025-01-01 16:45:08,3,920.02,366.23
2025-01-01 16:45:08,4,264.46,155.32
2025-01-01 16:45:08,5,947.85,415.13
2025-01-01 16:45:08,1,317.54,104.47
2025-01-01 16:45:08,2,844.8,635.54
2025-01-01 16:45:08,3,925.02,361.23
2025-01-01 16:45:08,4,259.46,155.32
2025-01-01 16:45:08,5,947.85,415.13
2025-01-01 16:45:08,1,312.54,109.47
2025-01-01 16:45:08,2,844.8,635.54
2025-01-01 16:45:08,3,930.02,361.23
2025-01-01 16:45:08,4,259.46,160.32
2025-01-01 16:45:08,5,947.85,420.13
2025-01-01 16:45:08,1,307.54,109.47
2025-01-01 16:45:08,2,844.8,635.54
2025-01-01 16:45:08,3,930.02,361.23
2025-01-01 16:45:08,4,264.46,160.32
2025-01-01 16:45:08,5,952.85,420.13
2025-01-01 16:45:08,1,312.54,109.47
2025-01-01 16:45:08,2,844.8,630.54
2025-01-01 16:45:08,3,925.02,361.23
2025-01-01 16:45:08,4,264.46,165.32
2025-01-01 16:45:08,5,952.85,420.13
2025-01-01 16:45:08,1,312.54,104.47
2025-01-01 16:45:08,2,844.8,630.54
2025-01-01 16:45:08,3,930.02,361.23
2025-01-01 16:45:08,4,264.46,165.32
2025-01-01 16:45:08,5,952.85,425.13
